glottocode;iso_code;wals_code;language;genus;family;longitude;latitude;area;continent;macroarea;macrocontinent.3;macrocontinent.4;circumpacific
pali1279;plu;plk;Palikur;Eastern Arawakan;Arawakan;-51;3;NE_South_America;S_America;South America;nw;nw;yes
panj1256;pan;pan;Panjabi;Indic;Indo-European;74;31;Indic;S_&_SE_Asia;Eurasia;ow;eur;no
pare1272;pab;prc;Parecis;Central Arawakan;Arawakan;-57;-14;NE_South_America;S_America;South America;nw;nw;yes
pari1256;lkr;par;Päri;Nilotic;Nilo-Saharan;32,5;5;African_Savannah;Africa;Africa;ow;afr;no
male1292;pqm;psm;Passamaquoddy-Maliseet;Algonquian;Algic;-67;45;E_North_America;E_N_America;North America;nw;nw;yes
pate1247;ptp;pat;Patep;Oceanic;Austronesian;146,58333;-6,91667;Interior_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
paum1247;pad;pau;Paumarí;Arauan;Arauan;-64;-6;NE_South_America;S_America;South America;nw;nw;yes
pawa1255;pwa;paw;Pawaian;Pawaian;Teberan-Pawaian;145,08333;-7;Interior_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
pech1241;pay;pec;Pech;Paya;Chibchan;-85,5;15;Mesoamerica;C_America;North America;nw;nw;yes
pele1245;ata;;Pele-Ata/Ata;Pele-Ata;Pele-Ata;151,05;-5,58;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
west2369;pes;prs;Persian;Iranian;Indo-European;54;32;Greater_Mesopotamia;W_&_SW_Eurasia;Eurasia;ow;eur;no
phak1238;phk;;Phake;Kam-Tai;Tai-Kadai;95,81;27,82;Indic;S_&_SE_Asia;Eurasia;ow;eur;no
piar1243;pid;pia;Piaroa;Piaroa;Sáliban;-67;5;NE_South_America;S_America;South America;nw;nw;yes
pile1238;piv;pil;Pileni;Oceanic;Austronesian;166,21667;-10,21667;Oceania;NG_&_Oceania;Papunesia;pac;pac;yes
pima1248;pia;pba;Pima Bajo;Tepiman;Uto-Aztecan;-111;29;Mesoamerica;C_America;North America;nw;nw;yes
pipi1250;ppl;pip;Pipil;Aztecan;Uto-Aztecan;-89,58333;13,83333;Mesoamerica;C_America;North America;nw;nw;yes
pira1253;myp;prh;Pirahã;Mura;Mura;-62;-7;NE_South_America;S_America;South America;nw;nw;yes
yine1238;pib;pir;Piro;Purus;Arawakan;-73,5;-11;NE_South_America;S_America;South America;nw;nw;yes
pitj1243;pjt;pit;Pitjantjatjara;Pama-Nyungan;Australian;130;-26;S_Australia;Australia;Australia;pac;pac;yes
pitt1247;pit;ppi;Pitta Pitta;Pama-Nyungan;Australian;140;-22,83333;S_Australia;Australia;Australia;pac;pac;yes
pnar1238;pbv;;Pnar;Khasian;Austro-Asiatic;92,26;24,82;Indic;S_&_SE_Asia;Eurasia;ow;eur;no
poli1260;pol;pol;Polish;Slavic;Indo-European;20;52;Europe;W_&_SW_Eurasia;Eurasia;ow;eur;no
east2545;peb;pme;Pomo (Eastern);Pomoan;Hokan;-122,66667;39;California;W_N_America;North America;nw;nw;yes
nort2966;pej;pmn;Pomo (Northern);Pomoan;Hokan;-123,5;39,33333;California;W_N_America;North America;nw;nw;yes
sout2982;pom;pso;Pomo (Southeastern);Pomoan;Hokan;-122,5;39;California;W_N_America;North America;nw;nw;yes
puin1248;pui;pui;Puinave;Puinave;Puinave;-68;4;NE_South_America;S_America;South America;nw;nw;yes
wadj1254;wdj;pun;Pungupungu;Anson Bay;Australian;130,41667;-13,5;N_Australia;Australia;Australia;pac;pac;yes
puqu1242;;puq;Puquina;Puquina;Puquina;-68,5;-16,5;Andean;S_America;South America;nw;nw;yes
pure1242;tsz;pur;Purépecha;Tarascan;Tarascan;-101,66667;19,5;Mesoamerica;C_America;North America;nw;nw;yes
puyu1239;pyu;;Puyuma;Puyuma;Austronesian;121;22,64;Southeast_Asia;S_&_SE_Asia;Papunesia;ow;eur;no
qawa1238;alc;qaw;Qawasqar;Alacalufan;Alacalufan;-75;-49;SE_South_America;S_America;South America;nw;nw;yes
qian1264;cng;qia;Qiang;Qiangic;Sino-Tibetan;102,66667;32;Southeast_Asia;S_&_SE_Asia;Eurasia;ow;eur;no
huam1248;qvh;qhu;Quechua (Huallaga);Quechuan;Quechuan;-75,5;-9,5;Andean;S_America;South America;nw;nw;yes
imba1240;qvi;qim;Quechua (Imbabura);Quechuan;Quechuan;-78;0,33333;Andean;S_America;South America;nw;nw;yes
quil1240;qui;qui;Quileute;Chimakuan;Chimakuan;-124,25;47,91667;Alaska-Oregon;W_N_America;North America;nw;nw;yes
rajb1243;rjs;;Rajbanshi;Indic;Indo-European;88,45;26,38;Indic;S_&_SE_Asia;Eurasia;ow;eur;no
rama1270;rma;ram;Rama;Rama;Chibchan;-83,75;11,75;Mesoamerica;C_America;North America;nw;nw;yes
raoo1244;rao;rao;Rao;Annaberg;Lower Sepik-Ramu;144,5;-4,75;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
rapa1244;rap;rap;Rapanui;Oceanic;Austronesian;-109,36667;-27,11667;Oceania;NG_&_Oceania;Papunesia;pac;pac;yes
rawa1267;rwo;rwa;Rawa;Finisterre-Huon;Trans-New Guinea;146;-5,83333;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
remb1249;rmb;rmb;Rembarnga;Rembarnga;Australian;134,58333;-12,83333;N_Australia;Australia;Australia;pac;pac;yes
resi1247;rgr;res;Resígaro;Northern Arawakan;Arawakan;-71,5;-2,41667;NE_South_America;S_America;South America;nw;nw;yes
rikb1245;rkb;rik;Rikbaktsa;Rikbaktsa;Macro-Ge;-57,5;-11,83333;NE_South_America;S_America;South America;nw;nw;yes
roto1249;roo;rtk;Rotokas;West Bougainville;West Bougainville;155,16667;-6;Oceania;NG_&_Oceania;Papunesia;pac;pac;yes
ruka1240;dru;ruk;Rukai (Tanan);Rukai;Austronesian;120,83333;22,83333;Southeast_Asia;S_&_SE_Asia;Papunesia;ow;eur;no
rumu1243;klq;rum;Rumu;Turama-Kikorian;Turama-Kikorian;144,25;-7,16667;Interior_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
russ1263;rus;rus;Russian;Slavic;Indo-European;38;56;Inner_Asia;NC_Asia;Eurasia;ow;eur;no
sout2674;sma;scs;Saami (Central-South);Saami;Uralic;16,75;64,66667;Inner_Asia;NC_Asia;Eurasia;ow;eur;no
skol1241;sms;;Saami (Skolt);Saami;Uralic;29,72;68,83;Inner_Asia;NC_Asia;Eurasia;ow;eur;no
saba1268;sae;;Sabanê;Nambikuaran;Nambikuaran;-60,34;-12,99;NE_South_America;S_America;South America;nw;nw;yes
nort1527;waa;shp;Sahaptin (Northern);Sahaptian;Penutian;-120;46,5;Basin_and_Plains;E_N_America;North America;nw;nw;yes
sahu1245;saj;sah;Sahu;North Halmaheran;West Papuan;127,5;1,16667;Oceania;NG_&_Oceania;Papunesia;pac;pac;yes
sali1298;slc;sba;Sáliba (in Colombia);Sáliba;Sáliban;-70;6;NE_South_America;S_America;South America;nw;nw;yes
sali1253;sln;sal;Salinan;Salinan;Salinan;-121;36;California;W_N_America;North America;nw;nw;yes
sand1273;sad;sdw;Sandawe;Sandawe;Khoisan;35;-5;S_Africa;Africa;Africa;ow;afr;no
sang1328;sag;san;Sango;Ubangi;Niger-Congo;18;5;African_Savannah;Africa;Africa;ow;afr;no
sant1410;sat;stl;Santali;Munda;Austro-Asiatic;87;24,5;Indic;S_&_SE_Asia;Eurasia;ow;eur;no
sanu1240;xsu;snm;Sanuma;Yanomam;Yanomam;-64,66667;4,5;NE_South_America;S_America;South America;nw;nw;yes
sapu1248;spu;sap;Sapuan;Bahnaric;Austro-Asiatic;106,83333;15,16667;Southeast_Asia;S_&_SE_Asia;Eurasia;ow;eur;no
camp1261;sro;srd;Sardinian;Romance;Indo-European;9;40;Europe;W_&_SW_Eurasia;Eurasia;ow;eur;no
savo1255;svs;svs;Savosavo;Savosavo;Solomons East Papuan;159,8;-9,13333;Oceania;NG_&_Oceania;Papunesia;pac;pac;yes
sawe1240;swr;;Saweru;Yawa;Yawa;136,3;-1,91;N_Coast_New_Guinea;NG_&_Oceania;Papunesia;pac;pac;yes
