language;glottocode;WordOrder.binned5;WordOrder.SO;WordOrder.binned7;WordOrder.S_first;MorphMarking;HeadMarking;DependentMarking;Sources
Hunzib;hunz1247;V3;yes;SOV;yes;yes;yes;yes;van den Berg 2005, Comrie 2005
Hup;hupd1244;V3;yes;SOV;yes;yes;;yes;Epps 2008
Iatmul;iatm1242;V3;yes;SOV;yes;yes;yes;no;Staalsen 1972: 46-48
Iau;iauu1242;V3;no;no dom.;no;yes;no;yes;Bateman 1986: 46
Icelandic;icel1247;SVO;yes;SVO;yes;yes;;yes;Svenonius 2002
Idoma;idom1241;nd;yes;no dom.;yes;yes;no;yes;Abraham 1967
Iduna;idun1242;V3;yes;SOV;yes;yes;yes;;Huckett 1974: 86, 75, 80-
Igbo;nucl1417;SVO;yes;SVO;yes;no;no;no;Comrie 2005,Emenanjo 1978
Igede;iged1239;SVO;yes;SVO;yes;no;no;no;Bergman 1981: 9, 24
Ijo (Kolokuma);izon1238;V3;yes;SOV;yes;no;no;no;Williamson 1965
Ik;ikkk1242;V1;yes;VSO;yes;yes;no;yes;König 2008b, Serzisko 1989
Ika;arhu1242;V3;yes;SOV;yes;yes;yes;yes;Frank 1990
Imonda;imon1245;V3;no;no dom.;no;yes;yes;yes;Seiler 1985: 163-165, Comrie 2005
Inanwatan;suab1238;V3;yes;SOV;yes;yes;yes;no;de Vries 2004: 54, 27, 36, 47-48, 53-54
Indonesian;indo1316;SVO;yes;SVO;yes;yes;yes;no;Sneddon 1996: 160-165
Indonesian (Riau);riau1236;nd;no;no dom.;no;no;no;no;Gil 2008
Ingessana;gaam1241;SVO;yes;SVO;yes;yes;yes;no;Bender 1989, Stirtz 2006
Ingush;ingu1240;V3;yes;SOV;yes;yes;;yes;Nichols 1994b: 95-97, Comrie 2005
Iquito;iqui1243;SVO;yes;SVO;yes;no;no;no;Brown 2004: 4, 24, 47
Iraqw;iraq1241;V3;yes;SOV;yes;yes;yes;yes;Mous 1992: 238-244, Comrie 2005
Irish;iris1253;V1;yes;VSO;yes;no;no;no;Stenson 1981: 35-39
I'saka;kris1246;V3;yes;SOV;yes;yes;yes;;Donohue 2005a
Isirawa;isir1237;V3;yes;SOV;yes;yes;yes;yes;Oguri 1985: 143-144
Italian;ital1282;SVO;yes;SVO;yes;yes;yes;no;Posner 2004
Itelmen;itel1242;V3;yes;SOV;yes;yes;yes;no;Bobaljik and Wurmbrand 2002
Itonama;iton1250;SVO;yes;SVO;yes;yes;yes;no;Crevels 2002: 38-40, 45-46
Iwaidja;iwai1244;SVO;yes;SVO;yes;yes;yes;yes;Evans 1998
Izi;izie1238;SVO;yes;SVO;yes;no;no;no;Meier, Meier and Bendor-Samuel  1975: 140-141, 159, 206, 208, 209, 236-237, 243
Jabutí;djeo1235;V3;yes;SOV;yes;yes;yes;;Aikhenvald and Dixon 1999: 358
Jahai;jeha1242;SVO;yes;SVO;yes;yes;yes;no;Diffloth 1976, Matisoff 2003a
Jakaltek;popt1235;V1;yes;VSO;yes;yes;yes;no;Craig 1977: 102-, 112-
Jamamadi;jama1261;V3;no;no dom.;no;yes;;yes;Campbell 1985a, Dixon 1999: 300
Jaminjung;djam1255;nd;no;no dom.;no;yes;yes;yes;Schultze-Berndt 2000: 52-56, 164-173, Dixon 2002
Jamsay;jams1239;V3;yes;SOV;yes;yes;yes;no;Heath 2008a, McPherson (p.c.), Heath 2009
Japanese;nucl1643;V3;yes;SOV;yes;yes;no;yes;Sadler 2002: 249-253, Nichols 1992
Jaqaru;jaqa1244;nd;no;no dom.;no;yes;yes;yes;Hardman 2000
Jarawa (in Andamans);jara1245;V3;yes;SOV;yes;yes;no;yes;Abbi 2006: 60
Javaé;kara1500;V3;yes;SOV;yes;yes;yes;yes;Rezende Maia 1998: 28, 71-76
Jebero;jebe1250;nd;no;no dom.;no;yes;yes;yes;Bendor-Samuel 1961: 37, Wise 1999
Jingpho;kach1280;V3;yes;SOV;yes;yes;yes;yes;LaPolla 1994, Qingxia and Lon 2003
Jivaro;shua1257;V3;yes;SOV;yes;yes;;yes;Nichols 1992
Jowulu;jowu1238;V3;yes;SOV;yes;no;no;no;Carlson 1993: 24
Ju|'hoan;juho1239;SVO;yes;SVO;yes;yes;no;yes;Dickens 1992: 21-22
Kabardian;kaba1278;V3;yes;SOV;yes;yes;;yes;Colarusso 1992: 51-
Kabyle;kaby1243;V1;yes;VSO;yes;yes;yes;yes;König 2008a: 180-, Kuningas 2008
Kadiwéu;kadi1248;SVO;yes;SVO;yes;yes;yes;;Sandalo 1995: 64-
Kag-Fer-Jiir-Koor-Ror-Us-Zuksun;kagf1238;SVO;yes;SVO;yes;yes;no;yes;Smith 2007
Kagoma;kago1247;SVO;yes;SVO;yes;yes;yes;;Hagen 1988: 141, 169
Kaingang;kain1272;V3;yes;SOV;yes;yes;yes;yes;Henry 1948: 198-199
Kaki Ae;kaki1249;V3;yes;SOV;yes;yes;yes;yes;Clifton 1997: 21
Kalapuya;kala1400;nd;no;no dom.;no;yes;yes;no;Banks 2007: 8, 10, 15, 22
Kalinga (Limos);limo1248;V1;no;no dom.;no;yes;;yes;Ferreirinho 1992: 10-13, 57
Kalkatungu;kalk1246;V3;yes;SOV;yes;yes;yes;yes;Blake 1979: 27
Kalmyk;kalm1243;V3;yes;SOV;yes;yes;yes;yes;Benzing 1985: 32
Kamass;kama1351;V3;yes;SOV;yes;yes;;yes;Havas 2008, Donners 1944: 9, Simoncsics 1998
Kambera;kamb1299;nd;no;no dom.;no;yes;yes;no;Klamer 1998: 60-63
Kamoro;kamo1255;V3;yes;SOV;yes;yes;yes;;Voorhoeve 1975: 371
Kamu;kamu1258;nd;no;no dom.;no;yes;yes;yes;Dixon 2002, Harvey 2003ab
Kamula;kamu1260;V3;yes;SOV;yes;yes;;yes;Routamaa 1994: 75
Kana;khan1278;SVO;yes;SVO;yes;no;no;no;Ikoro 1996
Kanjobal (Western);west2635;V1;no;no dom.;no;yes;yes;;Zavala 1992: 93, 253
Kannada;nucl1305;V3;yes;SOV;yes;yes;yes;yes;Lidz 2006, Sridhar 1990, Comrie 2005
Kanum (Bädi);badi1247;V3;yes;SOV;yes;yes;yes;yes;Boelaars 1950: 113, 38
Kanum (Ngkâlmpw);ngka1235;V3;yes;SOV;yes;yes;yes;yes;Carroll 2017: 70-75, 189-190
Kanuri;cent2050;V3;yes;SOV;yes;yes;;yes;Hutchinson 1985: 214-215, Hutchinson 1981: 214-215, Comrie 2005
Kapampangan;pamp1243;V1;no;no dom.;no;yes;yes;;Kitano 2006
Kara (in Papua New Guinea);kara1486;SVO;yes;SVO;yes;yes;yes;;Dryer 2013: 7, 185-186
Karen (Sgaw);sgaw1245;SVO;yes;SVO;yes;no;no;no;Jones 1961: 18
Karitiâna;kari1311;SVO;yes;SVO;yes;yes;yes;no;Storto 1999: 121, 158
Karkar-Yuri;kark1258;V3;yes;SOV;yes;yes;yes;no;Rigden 1986a: 15, Rigden 1986b
Karó (Arára);karo1305;V3;yes;SOV;yes;no;no;no;Gabos 1999
Karok;karo1304;nd;no;no dom.;no;yes;yes;no;Bright 1957: 133-134
Kasem;kase1253;SVO;yes;SVO;yes;no;no;no;Niggli and Niggli 2008: 51
Kashmiri;kash1277;SVO;yes;SVO;yes;yes;yes;yes;Nichols 2001: 518
Kasong;suoy1242;SVO;yes;SVO;yes;no;no;no;Sunee 2003
Kati (in West Papua, Indonesia);yong1280;V3;yes;SOV;yes;yes;yes;;Voorhoeve 1975: 382
Katla;katl1237;SVO;yes;SVO;yes;yes;yes;no;Tucker and Bryan 1966: 267-268
Kaure;kaur1271;V3;yes;SOV;yes;yes;yes;no;Auri et al. 1991: 108, 109, 113, 115
Kayah Li (Eastern);east2342;SVO;yes;SVO;yes;no;no;no;Solnit 1997: 5-8
Kayardild;kaya1319;nd;no;no dom.;no;yes;no;yes;Evans 2003a, Evans 1995: 97-119, 136-, Comrie 2005
Kei;keii1239;SVO;yes;SVO;yes;yes;yes;;Geurtjens 1921: 30, 35
K'ekchi;kekc1242;V1;no;VOS;no;yes;yes;;Tzul and Cacao 1997: 89
Kemant;qima1242;V3;yes;SOV;yes;yes;;yes;König 2008a: 89, 90, Appleyard 1975
Ke'o;keoo1238;SVO;yes;SVO;yes;no;no;no;Baird 2002: 50, 67-69
Kera;kera1255;SVO;yes;SVO;yes;no;no;no;Ebert 1979: 68-69, 83, 84, 130
Ket;kett1243;V3;yes;SOV;yes;yes;yes;no;Vajda 2004
Kewa;kewa1250;V3;yes;SOV;yes;yes;yes;yes;Franklin 1971: 62-63, Comrie 2005
Khalkha;halh1238;V3;yes;SOV;yes;yes;;yes;Guntsetseng 2008, Comrie 2005
Kham;gama1251;V3;yes;SOV;yes;yes;yes;yes;Watters 2003: 688-689, LaPolla 1994
Khamti;kham1290;SVO;yes;no dom.;yes;yes;no;yes;Morey 2002
Khanty (Eastern);khan1273;V3;yes;SOV;yes;yes;;yes;Filchenko 2007: 322
Khasi;khas1269;SVO;yes;SVO;yes;yes;yes;yes;Nagaraja 1985: 49, 88, Comrie 2005
Khmer;cent1989;SVO;yes;SVO;yes;yes;no;yes;Gorgoniyev 1966: 71, Sakamoto 2005, Ehrman 1972
Khmu';khmu1256;SVO;yes;SVO;yes;no;no;no;Premsrirat 1987
Khoekhoe;nama1264;V3;yes;SOV;yes;yes;no;yes;Hagman 1977, Comrie 2005
Kilivila;kili1267;nd;no;no dom.;no;yes;yes;no;Senft 1986: 30-36, 107-108
Kimaghama;kima1246;V3;yes;SOV;yes;yes;yes;no;Voorhoeve 1975: 365
Kiowa;kiow1266;V3;yes;SOV;yes;yes;yes;no;Watkins 1984: 74-75, 114-117
Kipea;kari1255;V1;no;VOS;no;yes;yes;yes;Larsen 1984
Kiribati;gilb1244;V1;no;VOS;no;yes;yes;no;Groves, Groves and Jacobs 1985
Kirikiri;kiri1256;V3;yes;SOV;yes;yes;;yes;Donohue (p.c.)
Kisi;kiss1245;nd;yes;no dom.;yes;yes;no;yes;Childs 1995: 226
Kiwai;nort2930;V3;yes;SOV;yes;yes;yes;no;Ray 1931: 13-14, 24-
Klamath;klam1254;nd;no;no dom.;no;yes;;yes;Barker 1964: 184, 235, 321-325, Mithun 2001: 448-451
Klao;klao1243;SVO;yes;SVO;yes;no;no;no;Marchese 1986
Koasati;koas1236;V3;yes;SOV;yes;yes;yes;yes;Kimball 1991: 380-, 515-516, Comrie 2005
Kobon;kobo1249;V3;yes;SOV;yes;yes;yes;yes;Davies 1989, Comrie 2005
Koiari;gras1249;V3;yes;SOV;yes;yes;yes;no;Dutton 1996: 18-20, 23-24
Kolami;kola1242;V3;yes;SOV;yes;yes;yes;yes;Krishnamurti 2003
Kolana;wers1238;V3;yes;SOV;yes;yes;;yes;Donohue 2005b: 528, Donohue 2001
Kombai;ndei1235;V3;yes;SOV;yes;yes;yes;no;de Vries 1993
Kombio;komb1272;SVO;yes;SVO;yes;no;no;no;Farr 1992
Komi-Zyrian;komi1268;SVO;yes;SVO;yes;yes;yes;yes;Havas 2008, Hausenberg 1998, Nichols 1992
Komo;komo1258;SVO;yes;SVO;yes;yes;yes;no;Tucker and Bryan 1966: 362-367
Kongo;koon1244;SVO;yes;SVO;yes;yes;yes;no;Bentley 1887: 578, 620, Comrie 2005
Korean;kore1280;V3;yes;SOV;yes;yes;;yes;Kwon & Zribi-Hertz 2008, Comrie 2005
Koreguaje;kore1283;V1;yes;VSO;yes;yes;yes;yes;Cook and Criswell 1993: 47, 48
Korku;kork1243;V3;yes;SOV;yes;yes;yes;yes;Nagaraja 1999
Koromfe;koro1298;SVO;yes;SVO;yes;no;no;no;Rennison 1997: 149-152, 284
Kota;kota1263;V3;yes;SOV;yes;yes;;yes;Krishnamurti 2003: 218, 228, Nichols 1992
Koyra Chiini;koyr1240;SVO;yes;SVO;yes;no;no;no;Heath 1999a
Koyraboro Senni;koyr1242;V3;yes;SOV;yes;yes;no;no;Heath 1999b: 79, 212
Kpelle;libe1247;V3;yes;SOV;yes;yes;yes;no;Westermann 1969: 10, 14
Kposo;ikpo1238;SVO;yes;SVO;yes;yes;yes;;Creissels 2005
Kresh;gbay1288;SVO;yes;SVO;yes;yes;yes;no;Santandrea 1976: 136, 141, 147, 148, 152, 100
Krongo;kron1241;V1;yes;VSO;yes;yes;yes;no;Reh 1983
Kuman;kuma1280;V3;yes;SOV;yes;yes;yes;no;Trefry 1969: 51-
Kuna;bord1248;V3;yes;SOV;yes;yes;yes;;Adelaar 2004: 61-66
Kunama;kuna1268;V3;yes;SOV;yes;yes;yes;yes;Thompson 1983, König 2008a, Comrie 2005
Kunimaipa;kuni1267;V3;yes;SOV;yes;yes;yes;yes;Geary 1977: 23, 74
Kuot;kuot1243;V1;yes;VSO;yes;yes;yes;no;Lindström 2002
Kurdish (Central);nort2641;V3;yes;SOV;yes;yes;yes;yes;Haig 2004
Kusunda;kusu1250;V3;yes;SOV;yes;yes;yes;yes;Watters 2006
Kutenai;kute1249;nd;no;no dom.;no;yes;yes;no;Dryer 1996: 13-15, 23
Kwaio;kwai1243;SVO;yes;SVO;yes;yes;yes;;Keesing 1985: 117-
Kwakw'ala;kwak1269;V1;yes;VSO;yes;yes;yes;yes;Anderson 1992: 18-37
Kwamera;kwam1252;SVO;yes;SVO;yes;yes;yes;no;Lindstrom and Lynch 1994: 7, 9, 10, 20, 21
Kwara'Ae;kwar1239;SVO;yes;SVO;yes;yes;yes;;Ivens 1931: 685, 686, 691
Kwazá;kwaz1243;nd;no;no dom.;no;yes;yes;yes;Aikhenvald and Dixon 1999: 363
Kwerba;nucl1595;V3;yes;SOV;yes;yes;yes;yes;De Vries and De Vries 1997: 4-6, 17-26
Kwoma;kwom1262;V3;yes;SOV;yes;yes;;yes;Kooyers 1974: 31
Kwomtari;nucl1593;V3;yes;SOV;yes;yes;yes;yes;Honsberger et al. 2008: 14, 90-92
Laal;laal1242;SVO;yes;SVO;yes;yes;yes;no;Boyeldieu 1982: 144-145, 150-152, 168-169
Lachi;lach1248;SVO;yes;SVO;yes;no;no;no;Kosaka 2000: 76, 111
Ladakhi;lada1244;V3;yes;SOV;yes;yes;;yes;LaPolla 1994, Koshal 1979: 64-80, Comrie 2005
Lafofa;lafo1243;V3;no;no dom.;no;yes;yes;no;Tucker and Bryan 1966: 279, 287
Lahu;lahu1253;V3;yes;SOV;yes;yes;no;yes;Matisoff 2003b, LaPolla 1994
Lai;haka1240;V3;yes;SOV;yes;yes;yes;yes;Peterson 2003
Lak;lakk1252;V3;no;no dom.;no;yes;yes;yes;van den Berg 2005, Comrie 2005, Friedman 1984
Lakhota;lako1247;V3;yes;SOV;yes;yes;yes;no;Van Valin 1977: 3
Lalo;xish1235;V3;yes;SOV;yes;yes;no;yes;Björverud 1998: 126-127
Lango;lang1324;SVO;yes;SVO;yes;yes;yes;no;Noonan 1992
Lao;laoo1244;SVO;yes;SVO;yes;no;no;no;Enfield 2007
Laragia;lara1258;V3;no;no dom.;no;yes;yes;no;Capell 1984: 65, 80-84
Latvian;latv1249;SVO;yes;SVO;yes;yes;yes;yes;Comrie 2005, Nau 1998: 23-25
Lavukaleve;lavu1241;V3;yes;SOV;yes;yes;yes;no;Terrill 2003
Lele;lele1276;SVO;yes;SVO;yes;no;no;no;Frajzyngier 2001: 100-110
Lepcha;lepc1244;V3;yes;SOV;yes;yes;;yes;Mainwaring 1876: 120, Plaisier 2003, Comrie 2005
Leti;leti1246;SVO;yes;SVO;yes;yes;yes;;van Engelenhoven and Cailoru 2006
Lezgian;lezg1247;V3;yes;SOV;yes;yes;;yes;Haspelmath 1993: 84, Comrie 2005
Ligbi;ligb1244;V3;yes;SOV;yes;yes;no;yes;Persson and Persson 1980: 35-37
Limilngan;nucl1327;nd;no;no dom.;no;yes;yes;;Dixon 2002
Lingala;ling1263;SVO;yes;SVO;yes;yes;yes;no;Meeuwis 1998: 26-27, 39, passim
Lisu;lisu1250;V3;no;no dom.;no;yes;no;yes;LaPolla 1994, Bradley 2003: 226-227
Lithuanian;lith1251;SVO;yes;SVO;yes;yes;yes;yes;Dambriunas, Klimas and Schamlstieg 1972: 30-31
Lokaa;loka1252;SVO;yes;SVO;yes;yes;yes;;Baker 2005
Lolopo;lolo1259;V3;no;no dom.;no;yes;;yes;Gerner 2008
Lugbara;lugb1240;nd;no;no dom.;no;yes;no;yes;Crazzolara 1960: 75
Luiseño;luis1253;nd;no;no dom.;no;yes;;yes;Elliott 1999: 17-20, 25-26, Grune 1997, Nichols 1992
Lunda;lund1266;SVO;yes;SVO;yes;yes;yes;no;Kawasha 2003, Kawasha 2002
Luo;luok1236;SVO;yes;SVO;yes;no;no;no;Stafford 1967: 1-5
Luvale;luva1239;SVO;yes;SVO;yes;yes;yes;no;Horton 1949: 20, 21
Maasai;masa1300;V1;yes;VSO;yes;yes;;yes;Nichols 1992, Lamoureaux 2004, Payne 2004
Maba;maba1277;V3;yes;SOV;yes;yes;yes;yes;König 2008a: 90, 91, 235, Tucker and Bryan 1966: 199, 202
Macedonian;mace1250;SVO;yes;SVO;yes;yes;yes;no;Wahlström 2015
Macuna;macu1260;OVS;no;OVS;no;yes;yes;yes;Smothermon et al. 1995: 31-
Macushi;macu1259;nd;no;no dom.;no;yes;;yes;Abbott 1991: 83
Ma'di;madi1260;nd;no;no dom.;no;yes;yes;no;Tucker and Bryan 1966: 42
Magi;mail1248;V3;yes;SOV;yes;yes;yes;yes;Thompson 1975: 54, 59, Saville 1912
Maidu (Northeast);nort2952;V3;yes;SOV;yes;yes;;yes;Nichols 1992, Shipley 1964: 16, 18, 29-30
Mairasi;nucl1594;V3;yes;SOV;yes;yes;yes;;Peckham 1982
Makah;maka1318;V1;yes;VSO;yes;yes;yes;;Davidson 2002: 109-, 258-, 312
Makasae;maka1316;V3;yes;SOV;yes;yes;no;yes;Huber 2008: 60
Maklew;makl1246;V3;yes;SOV;yes;yes;yes;yes;Boelaars 1950: 20, 23
Makua;makh1264;SVO;yes;SVO;yes;yes;yes;no;van der Wal 2009: 39-86
Malagasy;plat1254;V1;no;VOS;no;yes;yes;yes;Rasolfo 2006: 164-165, Comrie 2005
Malakmalak;mull1237;V3;no;no dom.;no;yes;yes;no;Birk 1976
Malayalam;mala1464;V3;yes;SOV;yes;yes;;yes;Krishnamurti 2003: 227, 426, 432, Andronov 1996
Maleng;male1282;SVO;yes;SVO;yes;no;no;no;Enfield and Diffloth 2009
Mali;mali1284;SVO;yes;SVO;yes;yes;yes;no;Stebbins 2009
Maltese;malt1254;SVO;yes;SVO;yes;yes;yes;;Aquilina 1959, Sutcliffe 1936: 50-51
Mam;mamc1234;V1;yes;VSO;yes;yes;yes;;England 1983
Mamvu;mamv1243;SVO;yes;SVO;yes;yes;yes;no;Vorbichler 1971: 227, 228, 323-
Manadonese;mala1481;SVO;yes;SVO;yes;yes;;yes;Wantalangi 1993
Manam;mana1295;V3;yes;SOV;yes;yes;yes;;Turner 1986
Manchu;manc1252;V3;yes;SOV;yes;yes;;yes;Bossong 1991: 161, Moellendorff 1892
Mandan;mand1446;V3;yes;SOV;yes;yes;yes;;Mixco 1997: 15-, 20, 40
Mandarin;mand1415;SVO;yes;SVO;yes;no;no;no;Li and Thompson 1981
Mandinka;mand1436;V3;yes;SOV;yes;no;no;no;Colley 1995: 29
Mangarrayi;mang1381;OVS;no;OVS;no;yes;yes;yes;Merlan 1989, Fauconnier 2011, Comrie 2005
Mangbetu;mang1394;SVO;yes;SVO;yes;yes;yes;no;Larochette 1958: 24, 69, 123, 81, 83, 84
Maninka (Western);west2500;V3;yes;SOV;yes;no;no;no;Hoover 2000: 11, 12, 17
Mansi;mans1258;V3;yes;SOV;yes;yes;yes;yes;Havas 2008, Comrie 1981: 126
Maori;maor1246;V1;yes;VSO;yes;yes;;yes;Pucilowski 2006: 12, Comrie 2005
Mapudungun;mapu1245;nd;no;no dom.;no;yes;yes;no;Zúñiga 2000: 16, 20-25
Maranungku;mara1386;V3;yes;SOV;yes;yes;yes;no;Tryon 1970: 17-19, 48-49
Mararit;mara1396;V3;yes;SOV;yes;yes;;yes;König 2008a: 90, Tucker and Bryan 1966: 211
Marathi;mara1378;V3;yes;SOV;yes;yes;yes;yes;Joshi 1993, Pandharipande 1997: 283-292, Comrie 2005
Margi;marg1265;SVO;yes;SVO;yes;no;no;no;Hoffmann 1963: 46, 166
Mari (Meadow);east2328;;;;;yes;;yes;Havas 2008
Maricopa;mari1440;V3;yes;SOV;yes;yes;;yes;Gordon 1986, Comrie 2005
Marind;nucl1622;V3;yes;SOV;yes;yes;yes;no;Boelaars 1950: 3
Marrithiyel;mari1424;V3;yes;SOV;yes;yes;yes;yes;Green 1989: 49-53, 74-88
Martuthunira;mart1255;SVO;yes;SVO;yes;yes;;yes;Dench 1994: 63-, Comrie 2005
Masa;masa1322;SVO;yes;SVO;yes;no;no;no;Caitucoli 1986
Masakin;ngil1242;nd;no;no dom.;no;yes;yes;no;Tucker and Bryan 1966: 284
Masalit;nucl1440;V3;yes;SOV;yes;yes;yes;yes;Edgar 1989a: 99-110, 52, 64, König 2008a: 65
Massep;mass1263;V3;yes;SOV;yes;yes;yes;yes;Clouse, Donohue and Ma 2002: 6
Maung;maun1240;SVO;yes;SVO;yes;yes;yes;no;Capell and Hinch 1970
Maxakalí;maxa1247;V3;yes;SOV;yes;yes;yes;yes;Popovich and Popovich 2005: iv, vi
Mayangna;maya1285;V3;yes;SOV;yes;yes;yes;no;Conzemius 1929: 83-, 88, 106, Benedicto & Hale 2000
Maybrat;maib1239;SVO;yes;SVO;yes;yes;yes;no;Dol 1999
Mazatec (Chiquihuitlán);chiq1250;nd;yes;no dom.;yes;yes;yes;;Jamieson 1976, Jamieson Capen 1996
Mazatec (Huautla);huau1238;nd;no;no dom.;no;yes;yes;;Pike 1967
Mbodomo;gbay1281;SVO;yes;SVO;yes;yes;yes;no;Boyd 1997
Mbum;mbum1254;SVO;yes;SVO;yes;no;no;no;Hagège 1970: 90, 296
Meithei;mani1292;V3;no;no dom.;no;yes;no;yes;Chelliah 1997: 107-109, Comrie 2005
Mekens;saki1248;V3;yes;SOV;yes;yes;yes;no;Galucio 2002: 52-54
Mende;mend1266;V3;yes;SOV;yes;yes;yes;no;Innes 1962: 31-33, 122, 131-132
Meryam Mir;meri1244;V3;yes;SOV;yes;yes;yes;yes;Piper 1989: 31, 32, 45, 127, 130
Meyah;meya1236;SVO;yes;SVO;yes;yes;yes;no;Gravelle 2002
Mien;iumi1238;SVO;yes;SVO;yes;no;no;no;Court 1985: 133
Miisiirii;tama1331;V3;no;no dom.;no;yes;yes;yes;Edgar 1989b: 104
Mikir;karb1241;V3;yes;SOV;yes;yes;;yes;LaPolla 1994
Minangkabau;mina1268;nd;no;no dom.;no;no;no;no;Gil 2008
Miskito;misk1235;V3;yes;SOV;yes;yes;yes;no;Conzemius 1929: 83-, 88, 106
Miwok (Southern Sierra);sout2985;nd;no;no dom.;no;yes;yes;yes;Broadbent 1964: 49-54, Comrie 2005
Mixe (Isthmus);isth1238;V3;yes;SOV;yes;yes;yes;;Dieterman 1995: 10
Mixtec (Alacatlatzala);alac1244;V1;yes;VSO;yes;no;no;no;Zylstra 1991
Mixtec (Chalcatongo);sanm1295;V1;yes;VSO;yes;yes;yes;no;Macaulauy 1996: 73-74, 139-140
Mixtec (Diuxi-Tilantongo);diux1235;V1;yes;VSO;yes;yes;yes;;Kuiper and Oram 1991: 238
Mixtec (Jamiltepec);jami1235;V1;yes;VSO;yes;yes;yes;yes;Johnson 1988: 21, 49
Mixtec (Jicaltepec);pino1237;V1;yes;VSO;yes;yes;yes;no;Bradley 1970: 65, 66
Mixtec (Ocotepec);ocot1243;V1;yes;VSO;yes;no;no;no;Alexander 1988
Mixtec (Silacayoapan);sila1250;V1;yes;VSO;yes;no;no;no;Shields 1988
Mixtec (Yosondúa);yoso1239;V1;yes;VSO;yes;yes;yes;;Farris 1992: 54-
Miya;miya1266;nd;no;no dom.;no;yes;no;yes;Schuh 1998: 281-282
Mlabri (Minor);mlab1235;SVO;yes;SVO;yes;no;no;no;Rischel 1995: 135
Mochica;moch1259;SVO;yes;SVO;yes;yes;yes;no;Adelaar 2004: 321-, 348
Mohawk;moha1258;nd;no;no dom.;no;yes;yes;no;Mithun 1998, Bonvillain 1973: 91, 135
Molala;mola1238;SVO;yes;SVO;yes;yes;yes;yes;Pharris 2006: 197-201, 284-
Mombum;nucl1452;V3;yes;SOV;yes;yes;yes;yes;Boelaars 1950: 30, 32
Momu;fass1245;V3;yes;SOV;yes;yes;yes;yes;Blake 2007
Mon;monn1252;SVO;yes;SVO;yes;no;no;no;Bauer 1982: 301, 367-368, 478-480
Moni;moni1261;V3;yes;SOV;yes;yes;yes;yes;Larson and Larson 1958, Voorhoeve 1975: 409
Mordvin (Erzya);erzy1239;SVO;yes;SVO;yes;yes;;yes;Rueter 2010
Moro;moro1285;SVO;yes;SVO;yes;yes;yes;;Black and Black 1971: 9, 10
Mosetén;mose1249;SVO;yes;SVO;yes;yes;yes;no;Sakel 2003: 51, 146-147, 295-296
Movima;movi1243;V3;no;no dom.;no;yes;yes;no;Haude 2006: 258, 277-
Mpur;mpur1239;SVO;yes;SVO;yes;yes;yes;no;Reesink 2002b: 4, 29
Mufian;mufi1238;SVO;yes;SVO;yes;yes;yes;no;Alungum and Lukas 1978: 110-111, passim
Mugil;barg1252;V3;yes;SOV;yes;yes;yes;no;Hepner 2006: 101-
Muinane;muin1242;V3;no;OSV;no;yes;yes;yes;Minor and Minor 1971: 47, 134-145, Minor and Loos 1963
Muisca;chib1270;V3;yes;SOV;yes;yes;yes;;Adelaar 2004
Mulao;mula1253;SVO;yes;SVO;yes;no;no;no;Jung and Zheng 1993
Mumuye;nucl1240;SVO;yes;SVO;yes;no;no;no;Shimizu 1983: 57, 101, 121, 123
Mundari;mund1320;V3;yes;SOV;yes;yes;yes;no;Osada 1992
Mundurukú;mund1330;V3;yes;SOV;yes;yes;yes;;Crofts 1973: 47, 48, 91-93
Murle;murl1244;V1;yes;VSO;yes;yes;yes;yes;Arensen 1982: 48-52, Comrie 2005
Murrinh-Patha;murr1258;V3;yes;SOV;yes;yes;yes;yes;Walsh 1976: 163, 164, 205-208, 279-280
Mursi;murs1242;SVO;yes;SVO;yes;yes;yes;yes;Turton and Bender 1976: 540-548, 554
Musey;muse1242;SVO;yes;SVO;yes;no;no;no;Platiel 1968: 48, 59
Musom;muso1238;SVO;yes;SVO;yes;yes;yes;no;Holzknecht 1997: 85-86
Mutsun;sout2986;SVO;yes;SVO;yes;yes;yes;yes;Okrand 1977: 144-145, 150-152, 171-172
Nadëb;nade1244;V3;no;OSV;no;yes;yes;no;Martins and Martins 1999: 263
Nagatman;yale1246;V3;yes;SOV;yes;yes;yes;yes;Campbell and Campbell 1987: 12, 37-50
Nahali;niha1238;V3;yes;SOV;yes;yes;no;yes;Kuiper 1962: 258-261, Nichols 1992
Nahuatl (Huasteca);huas1257;V1;yes;VSO;yes;yes;yes;;Beller and Beller 1979: 206
Nahuatl (Michoacán);mich1245;SVO;yes;SVO;yes;yes;yes;;Sischo 1979: 313-314
Nahuatl (North Puebla);nort2957;SVO;yes;SVO;yes;yes;yes;;Brockway 1979: 146, 180
Nahuatl (Tetelcingo);tete1251;SVO;yes;SVO;yes;yes;yes;no;Comrie 2005, Pittman 1954: 6-7, 44
Nambikuára;sout2994;V3;yes;SOV;yes;yes;yes;no;Kroeker 2001: 80
Namia;nami1256;V3;yes;SOV;yes;yes;yes;yes;Tupper 2009, Feldpausch and Feldpausch 1992: 10, 39, 85
Nanai;nana1257;V3;no;no dom.;no;yes;;yes;Nichols 1992
Nara (in Ethiopia);nara1262;V3;yes;SOV;yes;yes;yes;yes;Tucker and Bryan 1966: 329-335, Reinisch 1874
