nezp1238,Rude1985[82-96];Comrie2013
ngaa1240,Nichols1992
ngab1239,"Alphonse1956[3, 7, 25-30]"
ngad1261,Arndt1933[9]
ngal1293,"Merlan1983[40-43];Dixon2002[165, 439]"
ngan1295,Dixon2002[419];Heath1985[93-94]
ngan1299,Higdon2001[11]
ngar1284,"Rumsey1978[110-118, 185]"
ngar1286,"Westerlund2007[29-30, 54-61]"
ngba1285,"Thomas1963[77, 89, 219, 222]"
ngil1242,Tucker1966[284]
ngit1239,KutschLojenga1994
ngka1235,"Carroll2017[70-75, 189-190]"
ngur1261,"Blake1987;McDonald1979[16, 21-24]"
nhan1238,Blevins2001
nhen1239,Mosonyi2000e[464]
nias1242,"Brown2001[7, 11]"
nige1253,"McIntosh1984[53, 72, 205]"
niha1238,Kuiper1962[258-261];Nichols1992
niii1240,Stucky1976[86]
nobi1240,Konig2008a[90]
noma1263,"Shaver1996[26, 29]"
noot1239,Nakayama2001;Davidson2002
nort1527,Nichols1992
nort1550,Nichols2001[521]
nort2641,Haig2004
nort2732,"Brassett2006[50, 75-76, 160-163]"
nort2775,Roulon1975[36]
nort2815,Tucker1966[425];Andersen1991[271-273]
nort2930,"Ray1931[13-14, 24-]"
nort2952,"Nichols1992;WilliamShipley1964[16, 18, 29-30]"
nort2954,Thornes2003[267-268];Snapp1982[10]
nort2957,"Brockway1979[146, 180]"
nort2966,
norw1259,
nucl1235,"Kogian1949[33, 34]"
nucl1240,"Shimizu1983[57, 101, 121, 123]"
nucl1301,Kornfilt2009;Bolgun2005
nucl1302,Harris1981;Comrie2013
nucl1305,Lidz2006;Sridhar1990;Comrie2013
nucl1310,Soe1999[]
nucl1327,Dixon2002
nucl1339,Tucker1966[260]
nucl1417,Emenanjo1978;Comrie2013
nucl1440,"Edgar1989a[99-110, 52, 64];Konig2008a[65]"
nucl1452,"Boelaars1950[30, 32]"
nucl1454,Siewierska2005[414]
nucl1593,"Honsberger2008[14, 90-92]"
nucl1594,Peckham1982
nucl1595,"DeVries1997[4-6, 17-26]"
nucl1622,Boelaars1950[3]
nucl1632,Cowan1965[59-60];Nichols1992
nucl1633,"Anceaux1965[56-57, 102-107];May1997[41, 44, 60, 77-78]"
nucl1634,Donohue2005a
nucl1643,Sadler2002[249-253];Nichols1992
nucl1649,Dunn1979[60];Comrie2013
nucl1667,Bossong1989;Comrie2013
nung1283,Saul1980[20]
nung1290,Heath1984[347-]
nupe1254,Banfield1915
nyig1240,Nichols1992
obol1243,"Faraclas1984[1, 12]"
occi1239,"Nagy2000[89, 95, 109, 27, 29]"
ocot1243,Alexander1988
ogbr1243,"Kari2000[45, 46]"
oksa1245,"Lawrence1972[20, 21, 23, 45];Loughnane2009"
oloo1241,"MacGregor1982[26, 33-37, 39-40];Staley2007"
olut1240,Zavala2000[17-21]
onaa1245,Adelaar2004[563-564]
onei1249,Abbott2000[20-31]
onge1236,"Abbi2006[79, 88]"
oroh1237,"Ivens1927[594, 604]"
orok1265,Comrie1981[89];Pilsudski1987[29]
orya1242,Fields1997[238-246]
osag1243,Quintero2005
osse1243,Comrie1981[171-172];Abaev1964[17-18]
paam1238,Crowley1982[129-132];Comrie2013
paco1243,"Alves2000[141, 313-315]"
paez1247,"Slocum1986[10, 57, 60, 121];RojasCurieux1991[26-27]"
paip1241,Joel1976[142-148]
paiw1248,Li2006a;Huang2006;Tang2006
pala1344,Woolford1995;Georgopoulos1991[24-29];Smith2006
pali1279,Launey2001-2
pamp1243,Kitano2006
panj1256,Masica1991[263-264];Bhatia1993[172]
para1311,Shain2008;Comrie2013;Canese1983[134-135]
pare1272,"Derbyshire1986a[484-486];Rowan1979[17-18, 31-35]"
pari1256,Andersen1988;McGregor2009;McGregor2009
pate1247,Lauck1976
paum1247,Dixon1999;Chapman1981;Comrie2013
pawa1255,Trefry1969[51-]
pech1241,Humnick1991[48-50];Holt1999a
pele1245,"Donohue2005b[529];Hashimoto2008[8, 26]"
phak1238,Morey2006[334-335]
piar1243,"Krute1988[96-, 209, 320]"
pile1238,Ray1920;Naess2000[16]
pima1248,"Fernandez1996[7, 9, 19];Fernandez1991"
pino1237,"Bradley1970[65, 66]"
pipi1250,"Campbell1985b[55, 102-103]"
pira1253,Everett1986[202]
pitj1243,Bowe1990[9-10];Comrie2013
pitt1247,Blake1979
plai1258,Dahlstrom1991
plat1254,Rasolfo2006[164-165];Comrie2013
pnar1238,"Ring2015[23, 125-130, 209-210]"
poli1260,Bielec1998[103];Swan2002
popt1235,"Craig1977[102-, 112-]"
puel1244,"Casamiquela1983[40, 51, 67, 69, 72, 76, 80]"
puin1248,"Giron2008[196, 343]"
pume1238,"Mosonyi2000c[556, 557]"
puqu1242,Adelaar2004[350-362];Torero2002
pure1242,Foster1965[107-108];Nichols1992
puyu1239,Cauquelin1991[42-45];Ross2005
qawa1238,AguileraFaundez2006
qian1264,LaPolla2003a
qima1242,"Konig2008a[89, 90];Appleyard1975"
quil1240,Andrade1933[246-251];Nichols1992
quio1240,"Robbins1965[3, 7, 139-142]"
rajb1243,Wilde2008[110]
rama1270,"Grinevald1990[34, 82, 103-, 116, 117, 102, 143, 151]"
raoo1244,Stanhope1980[11]
rapa1244,DuFeu1996[113-]
rawa1267,"Claassen1970[69-71];Toland1991[18, 21, 24, 28, 62]"
remb1249,Dixon2002[204-205]
resi1247,"Allin1976[99-100, 131, 209-210, 220, 222, 235, 290-291]"
riau1236,Gil2008
rikb1245,"Boswood1974a[1, 4];Boswood1974b"
roto1249,Firchow1987
ruka1240,Chen2005;Chen2008[38-66]
rumu1243,Petterson1999[16]
russ1263,Timberlake2004;Comrie2013
saba1268,"Araujo2004[92, 128-, 182]"
sahu1245,"Visser1987[27-29, 55]"
saki1248,Galucio2002[52-54]
sali1253,"Mithun2001[482-484];Mason1918[46-47, 60]"
sali1298,"Suarez1977[20, 27];EstradaRamirez1996[46]"
samo1303,Shaw1973
sand1273,Eaton2003
sang1328,Thornell1997[73]
sanm1287,"StairsKreger1981[291, 299, 321]"
sanm1295,Macaulay1996
sant1410,"Ghosh2008[11-12, 34]"
sant1451,"Black2000[45, 46]"
sanu1240,Aikhenvald1999[347]
sapu1248,Sidwell1999[26]
savo1255,Dunn2002[54-55];Todd1975
sawe1240,Donohue2001;Donohue2005b[534]
scot1245,"Ramchand1997[29-];Lamb2001[29, 30, 52, 53, 64, 69]"
seim1238,Wozna2005
selk1253,Havas2008;Comrie1981[139];KoptjevskajaTamm1993[110-111]
seme1247,Kruspe1999;Comrie2013
seri1257,"Marlett1981[31, 39-40, 89-90, 136]"
sgaw1245,Jones1961[18]
shab1252,Teferra1991[382-382]
shas1239,"Silver1966[100-103, 125-131, 181]"
shat1244,"Tucker1966[236, 240]"
ship1254,Comrie2013
